TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2,F,1,3,1,2,0,2,1.0,0,,,,,,,4115200,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,428.3,504.0,555.8,498.1,0,1.0,140.0,180.0,120.0,140.0,120.0,D,E,F,B,3,E,A,B,B,A,A,B,B,B,A,A,A,A,C,A,A,D,B,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,486.3,527.2,562.1,545.9,1,1.0,140.0,200.0,120.0,180.0,140.0,G,G,E,D,2,H,A,C,D,B,A,B,B,B,A,B,A,B,C,A,B,D,A,C,B
2,F,1,3,1,2,0,3,1.0,0,4119905.0,41.0,PR,4.0,1.0,1.0,4119905,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,493.4,566.3,576.8,501.0,0,1.0,160.0,200.0,120.0,160.0,160.0,E,G,D,E,3,H,A,C,C,B,A,B,B,B,A,B,A,B,C,A,A,D,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4113700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,487.7,530.7,542.8,575.5,0,1.0,140.0,180.0,120.0,120.0,160.0,E,E,C,C,3,G,A,B,C,B,B,B,B,B,A,B,A,B,C,B,A,D,A,B,B
7,F,1,1,1,1,4,1,,0,,,,,,,4119905,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,477.8,506.4,455.1,479.3,0,1.0,120.0,120.0,100.0,120.0,100.0,H,E,B,F,4,B,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,C,A,A,A
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,577.6,576.0,608.1,709.8,1,1.0,140.0,180.0,140.0,160.0,180.0,D,F,D,B,5,G,A,B,D,B,A,B,B,B,B,B,A,B,C,B,A,E,A,C,B
12,F,2,1,1,1,16,1,,0,,,,,,,4105508,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,579.0,660.7,610.9,668.9,1,1.0,160.0,200.0,160.0,160.0,80.0,D,B,A,A,3,B,A,C,D,B,B,B,B,B,A,B,A,A,B,A,A,C,A,B,B
2,M,1,1,2,2,0,2,1.0,0,4127700.0,41.0,PR,2.0,1.0,1.0,4127700,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,509.6,564.0,558.3,676.2,0,1.0,120.0,120.0,100.0,120.0,0.0,H,E,C,C,3,F,A,B,D,B,B,C,C,B,B,B,A,A,B,A,B,E,A,B,B
5,M,1,1,1,1,3,1,,0,,,,,,,4104808,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,625.2,679.4,600.9,713.2,0,1.0,160.0,200.0,160.0,180.0,160.0,G,G,E,E,2,O,A,C,D,B,A,B,B,B,A,B,A,A,B,A,A,B,A,B,B
3,F,1,1,1,1,0,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,522.4,598.8,586.4,596.9,0,1.0,120.0,200.0,120.0,120.0,160.0,C,E,F,B,3,C,A,B,C,B,A,B,B,B,A,B,A,A,B,A,B,C,A,B,B
2,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,403.3,521.6,508.5,567.7,0,1.0,120.0,120.0,120.0,160.0,100.0,F,F,C,C,4,E,A,B,D,B,A,B,A,A,A,A,A,A,B,A,A,E,B,B,B
4,M,1,1,1,2,0,2,2.0,0,4113700.0,41.0,PR,2.0,1.0,1.0,4113700,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,532.0,551.7,522.0,644.5,0,1.0,100.0,140.0,100.0,120.0,80.0,E,E,C,B,5,E,A,B,D,B,B,B,B,B,A,B,A,A,C,A,A,E,A,C,B
